Geography,Contact Related Crime,Financial Year,Count
ZA,Arson,2011/2012,5996
ZA,Arson,2012/2013,5665
ZA,Arson,2013/2014,5458
ZA,Arson,2014/2015,5127
ZA,Arson,2015/2016,4903
ZA,Arson,2016/2017,4321
ZA,Arson,2017/2018,3869
ZA,Arson,2018/2019,4083
ZA,Arson,2019/2020,3783
ZA,Arson,2020/2021,3238
ZA,Malicious Damage to Property,2011/2012,119907
ZA,Malicious Damage to Property,2012/2013,119026
ZA,Malicious Damage to Property,2013/2014,117983
ZA,Malicious Damage to Property,2014/2015,120662
ZA,Malicious Damage to Property,2015/2016,119901
ZA,Malicious Damage to Property,2016/2017,116409
ZA,Malicious Damage to Property,2017/2018,111492
ZA,Malicious Damage to Property,2018/2019,113089
ZA,Malicious Damage to Property,2019/2020,108461
ZA,Malicious Damage to Property,2020/2021,99031
EC,Arson,2011/2012,980
EC,Arson,2012/2013,968
EC,Arson,2013/2014,1061
EC,Arson,2014/2015,785
EC,Arson,2015/2016,679
EC,Arson,2016/2017,748
EC,Arson,2017/2018,605
EC,Arson,2018/2019,698
EC,Arson,2019/2020,666
EC,Arson,2020/2021,560
EC,Malicious Damage to Property,2011/2012,12707
EC,Malicious Damage to Property,2012/2013,12546
EC,Malicious Damage to Property,2013/2014,12674
EC,Malicious Damage to Property,2014/2015,12399
EC,Malicious Damage to Property,2015/2016,11819
EC,Malicious Damage to Property,2016/2017,12062
EC,Malicious Damage to Property,2017/2018,11422
EC,Malicious Damage to Property,2018/2019,12040
EC,Malicious Damage to Property,2019/2020,12055
EC,Malicious Damage to Property,2020/2021,11113
FS,Arson,2011/2012,404
FS,Arson,2012/2013,377
FS,Arson,2013/2014,344
FS,Arson,2014/2015,287
FS,Arson,2015/2016,265
FS,Arson,2016/2017,186
FS,Arson,2017/2018,164
FS,Arson,2018/2019,123
FS,Arson,2019/2020,148
FS,Arson,2020/2021,127
FS,Malicious Damage to Property,2011/2012,8730
FS,Malicious Damage to Property,2012/2013,8770
FS,Malicious Damage to Property,2013/2014,8080
FS,Malicious Damage to Property,2014/2015,7655
FS,Malicious Damage to Property,2015/2016,7551
FS,Malicious Damage to Property,2016/2017,6652
FS,Malicious Damage to Property,2017/2018,6068
FS,Malicious Damage to Property,2018/2019,5993
FS,Malicious Damage to Property,2019/2020,5592
FS,Malicious Damage to Property,2020/2021,5642
GT,Arson,2011/2012,1378
GT,Arson,2012/2013,1166
GT,Arson,2013/2014,1172
GT,Arson,2014/2015,1042
GT,Arson,2015/2016,992
GT,Arson,2016/2017,724
GT,Arson,2017/2018,495
GT,Arson,2018/2019,532
GT,Arson,2019/2020,476
GT,Arson,2020/2021,443
GT,Malicious Damage to Property,2011/2012,36418
GT,Malicious Damage to Property,2012/2013,35033
