Geography,Crime Detected as a Result of Police Action,Financial Year,Count
ZA,Illegal Possession of Firearms & Ammunition,2011/2012,14372
ZA,Illegal Possession of Firearms & Ammunition,2012/2013,14813
ZA,Illegal Possession of Firearms & Ammunition,2013/2014,15362
ZA,Illegal Possession of Firearms & Ammunition,2014/2015,15116
ZA,Illegal Possession of Firearms & Ammunition,2015/2016,14772
ZA,Illegal Possession of Firearms & Ammunition,2016/2017,16134
ZA,Illegal Possession of Firearms & Ammunition,2017/2018,17558
ZA,Illegal Possession of Firearms & Ammunition,2018/2019,15736
ZA,Illegal Possession of Firearms & Ammunition,2019/2020,15779
ZA,Illegal Possession of Firearms & Ammunition,2020/2021,12930
ZA,Drug Related Crime,2011/2012,176218
ZA,Drug Related Crime,2012/2013,206721
ZA,Drug Related Crime,2013/2014,260596
ZA,Drug Related Crime,2014/2015,266902
ZA,Drug Related Crime,2015/2016,259165
ZA,Drug Related Crime,2016/2017,292689
ZA,Drug Related Crime,2017/2018,323547
ZA,Drug Related Crime,2018/2019,232657
ZA,Drug Related Crime,2019/2020,170510
ZA,Drug Related Crime,2020/2021,121359
ZA,Driving Under the Influence of Alcohol or Drugs,2011/2012,69410
ZA,Driving Under the Influence of Alcohol or Drugs,2012/2013,71025
ZA,Driving Under the Influence of Alcohol or Drugs,2013/2014,69725
ZA,Driving Under the Influence of Alcohol or Drugs,2014/2015,68561
ZA,Driving Under the Influence of Alcohol or Drugs,2015/2016,76159
ZA,Driving Under the Influence of Alcohol or Drugs,2016/2017,75034
ZA,Driving Under the Influence of Alcohol or Drugs,2017/2018,86160
ZA,Driving Under the Influence of Alcohol or Drugs,2018/2019,82912
ZA,Driving Under the Influence of Alcohol or Drugs,2019/2020,94273
ZA,Driving Under the Influence of Alcohol or Drugs,2020/2021,35860
ZA,Sexual Offences Detected as a Result of Police Action,2011/2012,2726
ZA,Sexual Offences Detected as a Result of Police Action,2012/2013,4175
ZA,Sexual Offences Detected as a Result of Police Action,2013/2014,4720
ZA,Sexual Offences Detected as a Result of Police Action,2014/2015,6340
ZA,Sexual Offences Detected as a Result of Police Action,2015/2016,5830
ZA,Sexual Offences Detected as a Result of Police Action,2016/2017,6164
ZA,Sexual Offences Detected as a Result of Police Action,2017/2018,6701
ZA,Sexual Offences Detected as a Result of Police Action,2018/2019,7976
ZA,Sexual Offences Detected as a Result of Police Action,2019/2020,9614
ZA,Sexual Offences Detected as a Result of Police Action,2020/2021,6946
EC,Illegal Possession of Firearms & Ammunition,2011/2012,1455
EC,Illegal Possession of Firearms & Ammunition,2012/2013,1530
EC,Illegal Possession of Firearms & Ammunition,2013/2014,1834
EC,Illegal Possession of Firearms & Ammunition,2014/2015,1719
EC,Illegal Possession of Firearms & Ammunition,2015/2016,1773
EC,Illegal Possession of Firearms & Ammunition,2016/2017,2045
EC,Illegal Possession of Firearms & Ammunition,2017/2018,2142
EC,Illegal Possession of Firearms & Ammunition,2018/2019,1995
EC,Illegal Possession of Firearms & Ammunition,2019/2020,2156
EC,Illegal Possession of Firearms & Ammunition,2020/2021,1685
EC,Drug Related Crime,2011/2012,11643
EC,Drug Related Crime,2012/2013,12871
EC,Drug Related Crime,2013/2014,15032
EC,Drug Related Crime,2014/2015,16038
EC,Drug Related Crime,2015/2016,16129
EC,Drug Related Crime,2016/2017,17710
EC,Drug Related Crime,2017/2018,18936
EC,Drug Related Crime,2018/2019,15213
EC,Drug Related Crime,2019/2020,13343
EC,Drug Related Crime,2020/2021,9780
EC,Driving Under the Influence of Alcohol or Drugs,2011/2012,7771
EC,Driving Under the Influence of Alcohol or Drugs,2012/2013,7603
EC,Driving Under the Influence of Alcohol or Drugs,2013/2014,7349
EC,Driving Under the Influence of Alcohol or Drugs,2014/2015,6946
EC,Driving Under the Influence of Alcohol or Drugs,2015/2016,6547
EC,Driving Under the Influence of Alcohol or Drugs,2016/2017,6090
EC,Driving Under the Influence of Alcohol or Drugs,2017/2018,5648
EC,Driving Under the Influence of Alcohol or Drugs,2018/2019,5269
EC,Driving Under the Influence of Alcohol or Drugs,2019/2020,5293
EC,Driving Under the Influence of Alcohol or Drugs,2020/2021,1936
EC,Sexual Offences Detected as a Result of Police Action,2011/2012,101
EC,Sexual Offences Detected as a Result of Police Action,2012/2013,96
EC,Sexual Offences Detected as a Result of Police Action,2013/2014,119
EC,Sexual Offences Detected as a Result of Police Action,2014/2015,219
EC,Sexual Offences Detected as a Result of Police Action,2015/2016,262
EC,Sexual Offences Detected as a Result of Police Action,2016/2017,337
EC,Sexual Offences Detected as a Result of Police Action,2017/2018,275
EC,Sexual Offences Detected as a Result of Police Action,2018/2019,81
EC,Sexual Offences Detected as a Result of Police Action,2019/2020,77
EC,Sexual Offences Detected as a Result of Police Action,2020/2021,26
FS,Illegal Possession of Firearms & Ammunition,2011/2012,328
FS,Illegal Possession of Firearms & Ammunition,2012/2013,431
FS,Illegal Possession of Firearms & Ammunition,2013/2014,479
FS,Illegal Possession of Firearms & Ammunition,2014/2015,442
FS,Illegal Possession of Firearms & Ammunition,2015/2016,469
FS,Illegal Possession of Firearms & Ammunition,2016/2017,527
FS,Illegal Possession of Firearms & Ammunition,2017/2018,570
FS,Illegal Possession of Firearms & Ammunition,2018/2019,513
FS,Illegal Possession of Firearms & Ammunition,2019/2020,416
FS,Illegal Possession of Firearms & Ammunition,2020/2021,331
FS,Drug Related Crime,2011/2012,4455
FS,Drug Related Crime,2012/2013,6153
FS,Drug Related Crime,2013/2014,8189
FS,Drug Related Crime,2014/2015,8776
FS,Drug Related Crime,2015/2016,9623
FS,Drug Related Crime,2016/2017,11314
FS,Drug Related Crime,2017/2018,12176
FS,Drug Related Crime,2018/2019,7888
FS,Drug Related Crime,2019/2020,3989
FS,Drug Related Crime,2020/2021,3379
FS,Driving Under the Influence of Alcohol or Drugs,2011/2012,1518
FS,Driving Under the Influence of Alcohol or Drugs,2012/2013,1671
FS,Driving Under the Influence of Alcohol or Drugs,2013/2014,1767
FS,Driving Under the Influence of Alcohol or Drugs,2014/2015,1976
FS,Driving Under the Influence of Alcohol or Drugs,2015/2016,2448
FS,Driving Under the Influence of Alcohol or Drugs,2016/2017,2828
FS,Driving Under the Influence of Alcohol or Drugs,2017/2018,2824
FS,Driving Under the Influence of Alcohol or Drugs,2018/2019,3000
