Geography,Other Serious Crime,Financial Year,Count
ZA,All Theft Not Mentioned Elsewhere,2011/2012,370916
ZA,All Theft Not Mentioned Elsewhere,2012/2013,356847
ZA,All Theft Not Mentioned Elsewhere,2013/2014,363517
ZA,All Theft Not Mentioned Elsewhere,2014/2015,360541
ZA,All Theft Not Mentioned Elsewhere,2015/2016,340372
ZA,All Theft Not Mentioned Elsewhere,2016/2017,328272
ZA,All Theft Not Mentioned Elsewhere,2017/2018,302656
ZA,All Theft Not Mentioned Elsewhere,2018/2019,300457
ZA,All Theft Not Mentioned Elsewhere,2019/2020,282817
ZA,All Theft Not Mentioned Elsewhere,2020/2021,224345
ZA,Commercial Crime,2011/2012,85570
ZA,Commercial Crime,2012/2013,89138
ZA,Commercial Crime,2013/2014,76744
ZA,Commercial Crime,2014/2015,67830
ZA,Commercial Crime,2015/2016,69917
ZA,Commercial Crime,2016/2017,73550
ZA,Commercial Crime,2017/2018,73277
ZA,Commercial Crime,2018/2019,83823
ZA,Commercial Crime,2019/2020,83869
ZA,Commercial Crime,2020/2021,82890
ZA,Shoplifting,2011/2012,71810
ZA,Shoplifting,2012/2013,71267
ZA,Shoplifting,2013/2014,70487
ZA,Shoplifting,2014/2015,71327
ZA,Shoplifting,2015/2016,68786
ZA,Shoplifting,2016/2017,67454
ZA,Shoplifting,2017/2018,62180
ZA,Shoplifting,2018/2019,60167
ZA,Shoplifting,2019/2020,59883
ZA,Shoplifting,2020/2021,47331
EC,All Theft Not Mentioned Elsewhere,2011/2012,28931
EC,All Theft Not Mentioned Elsewhere,2012/2013,26198
EC,All Theft Not Mentioned Elsewhere,2013/2014,27699
EC,All Theft Not Mentioned Elsewhere,2014/2015,25597
EC,All Theft Not Mentioned Elsewhere,2015/2016,23429
EC,All Theft Not Mentioned Elsewhere,2016/2017,24486
EC,All Theft Not Mentioned Elsewhere,2017/2018,23174
EC,All Theft Not Mentioned Elsewhere,2018/2019,24277
EC,All Theft Not Mentioned Elsewhere,2019/2020,24188
