Geography,Property Related Crime,Financial Year,Count
ZA,Burglary at Non-Residential Premises,2011/2012,69902
ZA,Burglary at Non-Residential Premises,2012/2013,73492
ZA,Burglary at Non-Residential Premises,2013/2014,73464
ZA,Burglary at Non-Residential Premises,2014/2015,74358
ZA,Burglary at Non-Residential Premises,2015/2016,75008
ZA,Burglary at Non-Residential Premises,2016/2017,75618
ZA,Burglary at Non-Residential Premises,2017/2018,71195
ZA,Burglary at Non-Residential Premises,2018/2019,71224
ZA,Burglary at Non-Residential Premises,2019/2020,69713
ZA,Burglary at Non-Residential Premises,2020/2021,65508
ZA,Burglary at Residential Premises,2011/2012,244667
ZA,Burglary at Residential Premises,2012/2013,261319
ZA,Burglary at Residential Premises,2013/2014,259784
ZA,Burglary at Residential Premises,2014/2015,253716
ZA,Burglary at Residential Premises,2015/2016,250606
ZA,Burglary at Residential Premises,2016/2017,246654
ZA,Burglary at Residential Premises,2017/2018,228094
ZA,Burglary at Residential Premises,2018/2019,220865
ZA,Burglary at Residential Premises,2019/2020,205959
ZA,Burglary at Residential Premises,2020/2021,159721
ZA,Theft of Motor Vehicle or Motorcycle,2011/2012,58800
ZA,Theft of Motor Vehicle or Motorcycle,2012/2013,58102
ZA,Theft of Motor Vehicle or Motorcycle,2013/2014,56645
ZA,Theft of Motor Vehicle or Motorcycle,2014/2015,55090
ZA,Theft of Motor Vehicle or Motorcycle,2015/2016,53809
ZA,Theft of Motor Vehicle or Motorcycle,2016/2017,53307
ZA,Theft of Motor Vehicle or Motorcycle,2017/2018,50663
ZA,Theft of Motor Vehicle or Motorcycle,2018/2019,48324
ZA,Theft of Motor Vehicle or Motorcycle,2019/2020,46921
ZA,Theft of Motor Vehicle or Motorcycle,2020/2021,35023
ZA,Theft Out Of or From Motor Vehicle,2011/2012,129644
ZA,Theft Out Of or From Motor Vehicle,2012/2013,138956
ZA,Theft Out Of or From Motor Vehicle,2013/2014,143801
ZA,Theft Out Of or From Motor Vehicle,2014/2015,145358
ZA,Theft Out Of or From Motor Vehicle,2015/2016,139386
ZA,Theft Out Of or From Motor Vehicle,2016/2017,138172
ZA,Theft Out Of or From Motor Vehicle,2017/2018,129174
ZA,Theft Out Of or From Motor Vehicle,2018/2019,125076
ZA,Theft Out Of or From Motor Vehicle,2019/2020,118213
ZA,Theft Out Of or From Motor Vehicle,2020/2021,83183
ZA,Stock Theft,2011/2012,27611
ZA,Stock Theft,2012/2013,26465
ZA,Stock Theft,2013/2014,24534
ZA,Stock Theft,2014/2015,24965
ZA,Stock Theft,2015/2016,24715
ZA,Stock Theft,2016/2017,26902
ZA,Stock Theft,2017/2018,28849
ZA,Stock Theft,2018/2019,29672
ZA,Stock Theft,2019/2020,28418
ZA,Stock Theft,2020/2021,26310
EC,Burglary at Non-Residential Premises,2011/2012,6487
EC,Burglary at Non-Residential Premises,2012/2013,7528
EC,Burglary at Non-Residential Premises,2013/2014,7642
EC,Burglary at Non-Residential Premises,2014/2015,7810
EC,Burglary at Non-Residential Premises,2015/2016,7470
EC,Burglary at Non-Residential Premises,2016/2017,7755
EC,Burglary at Non-Residential Premises,2017/2018,7446
EC,Burglary at Non-Residential Premises,2018/2019,7691
EC,Burglary at Non-Residential Premises,2019/2020,7477
EC,Burglary at Non-Residential Premises,2020/2021,7717
EC,Burglary at Residential Premises,2011/2012,26825
EC,Burglary at Residential Premises,2012/2013,25782
EC,Burglary at Residential Premises,2013/2014,24643
EC,Burglary at Residential Premises,2014/2015,24329
EC,Burglary at Residential Premises,2015/2016,23901
