Geography,Sexual Offence,Financial Year,Count
ZA,Rape,2011/2012,47069
ZA,Rape,2012/2013,48408
ZA,Rape,2013/2014,45349
ZA,Rape,2014/2015,43195
ZA,Rape,2015/2016,41503
ZA,Rape,2016/2017,39828
ZA,Rape,2017/2018,40035
ZA,Rape,2018/2019,41583
ZA,Rape,2019/2020,42289
ZA,Rape,2020/2021,36330
ZA,Sexual Assault,2011/2012,7194
ZA,Sexual Assault,2012/2013,6967
ZA,Sexual Assault,2013/2014,6597
ZA,Sexual Assault,2014/2015,6087
ZA,Sexual Assault,2015/2016,6212
ZA,Sexual Assault,2016/2017,6271
ZA,Sexual Assault,2017/2018,6786
ZA,Sexual Assault,2018/2019,7437
ZA,Sexual Assault,2019/2020,7749
ZA,Sexual Assault,2020/2021,7025
ZA,Attempted Sexual Offences,2011/2012,3535
ZA,Attempted Sexual Offences,2012/2013,3293
ZA,Attempted Sexual Offences,2013/2014,2913
ZA,Attempted Sexual Offences,2014/2015,2641
ZA,Attempted Sexual Offences,2015/2016,2573
ZA,Attempted Sexual Offences,2016/2017,2073
ZA,Attempted Sexual Offences,2017/2018,2066
ZA,Attempted Sexual Offences,2018/2019,2146
ZA,Attempted Sexual Offences,2019/2020,2076
ZA,Attempted Sexual Offences,2020/2021,1800
ZA,Contact Sexual Offences,2011/2012,2741
ZA,Contact Sexual Offences,2012/2013,2220
ZA,Contact Sexual Offences,2013/2014,1821
ZA,Contact Sexual Offences,2014/2015,1694
ZA,Contact Sexual Offences,2015/2016,1607
ZA,Contact Sexual Offences,2016/2017,1488
ZA,Contact Sexual Offences,2017/2018,1221
ZA,Contact Sexual Offences,2018/2019,1254
ZA,Contact Sexual Offences,2019/2020,1179
ZA,Contact Sexual Offences,2020/2021,1059
EC,Rape,2011/2012,7301
EC,Rape,2012/2013,7701
EC,Rape,2013/2014,8212
EC,Rape,2014/2015,7934
EC,Rape,2015/2016,7437
EC,Rape,2016/2017,6836
EC,Rape,2017/2018,6821
EC,Rape,2018/2019,7305
EC,Rape,2019/2020,7282
EC,Rape,2020/2021,6114
EC,Sexual Assault,2011/2012,682
EC,Sexual Assault,2012/2013,741
EC,Sexual Assault,2013/2014,692
EC,Sexual Assault,2014/2015,636
EC,Sexual Assault,2015/2016,747
EC,Sexual Assault,2016/2017,753
EC,Sexual Assault,2017/2018,805
EC,Sexual Assault,2018/2019,890
EC,Sexual Assault,2019/2020,896
EC,Sexual Assault,2020/2021,891
EC,Attempted Sexual Offences,2011/2012,688
EC,Attempted Sexual Offences,2012/2013,603
EC,Attempted Sexual Offences,2013/2014,509
EC,Attempted Sexual Offences,2014/2015,440
EC,Attempted Sexual Offences,2015/2016,430
EC,Attempted Sexual Offences,2016/2017,301
EC,Attempted Sexual Offences,2017/2018,318
EC,Attempted Sexual Offences,2018/2019,388
